G|944|Bizkaia|000000-999999|
G|945|Álava|000000-489999,500000-519999,540000-579999,600000-629999,640000-679999,700000-729999,740000-759999,770000-779999,800000-809999,840000-849999,880000-909999,940000-959999,980000-999999|
G|946|Bizkaia|000000-279999,290000-929999,940000-979999,990000-999999|
G|947|Burgos|000000-829999,860000-889999,900000-909999,940000-959999,970000-999999|
G|948|Navarra|000000-999999|
G|949|Guadalajara|000000-139999,150000-169999,190000-419999,440000-449999,460000-509999,590000-609999,690000-719999,750000-769999,790000-909999,940000-969999,990000-999999|
G|950|Almería|000000-739999,750000-789999,800000-829999,850000-999999|
G|951|Málaga|000000-999999|
G|952|Málaga|000000-999999|
G|953|Jaén|000000-969999,980000-999999|
G|954-955|Sevilla|000000-999999|
G|956|Cádiz|000000-999999|
G|957|Córdoba|000000-999999|
G|958|Granada|000000-999999|
G|959|Huelva|000000-679999,690000-859999,870000-919999,940000-979999,990000-999999|
G|960|València|000000-349999,360000-369999,400000-529999,550000-559999,590000-669999,680000-749999,760000-779999,800000-839999,850000-869999,880000-919999,950000-979999,990000-999999|
G|961-963|València|000000-999999|
G|964|Castellón|000000-999999|
G|965-966|Alicante/Alacant|000000-999999|
G|967|Albacete|000000-789999,800000-829999,850000-929999,940000-999999|
G|968|Murcia|000000-999999|
G|969|Cuenca|000000-409999,420000-429999,450000-469999,490000-519999,590000-609999,690000-719999,750000-769999,790000-809999,870000-909999,950000-969999,990000-999999|
G|971|Balears, Illes|000000-999999|
G|972|Girona|000000-999999|
G|973|Lleida|000000-999999|
G|974|Huesca|000000-179999,200000-519999,530000-609999,700000-719999,730000-779999,800000-809999,870000-889999,900000-909999,940000-949999,970000-979999,990000-999999|
G|975|Soria|000000-159999,180000-189999,200000-289999,300000-419999,450000-459999,500000-509999,550000-559999,570000-579999,600000-609999,640000-679999,700000-719999,750000-759999,870000-889999,900000-909999,950000-959999,970000-979999|
G|976|Zaragoza|000000-999999|
G|977|Tarragona|000000-999999|
G|978|Teruel|000000-129999,150000-169999,180000-189999,200000-239999,280000-309999,400000-409999,440000-449999,480000-489999,500000-509999,580000-589999,600000-919999,940000-999999|
G|979|Palencia|000000-239999,250000-269999,290000-309999,400000-409999,490000-509999,590000-649999,670000-929999,950000-999999|
G|980|Zamora|000000-129999,150000-209999,220000-229999,300000-319999,400000-409999,480000-489999,500000-709999,740000-759999,770000-779999,800000-819999,840000-849999,880000-909999,970000-999999|
G|981|A Coruña|000000-999999|
G|982|Lugo|000000-639999,650000-679999,700000-709999,720000-729999,750000-779999,800000-849999,860000-909999,920000-929999,940000-959999,980000-999999|
G|983|Valladolid|000000-999999|
G|984|Asturias|000000-259999,280000-309999,330000-359999,390000-409999,440000-449999,470000-529999,540000-569999,580000-589999,600000-609999,680000-709999,750000-769999,830000-859999,880000-889999,900000-909999,940000-949999,980000-999999|
G|985|Asturias|000000-999999|
G|986|Pontevedra|000000-999999|
G|987|León|000000-999999|
G|988|Ourense|000000-159999,170000-649999,680000-689999,700000-709999,750000-759999,770000-789999,800000-809999,860000-909999,980000-999999|
